record_id,document_type,image_filename,doc_date,organization_or_store,category,total_amount,payment_method,respondent_dept,satisfaction_score,usability_score,speed_score,handwritten_note,has_noise,is_low_resolution,expected_ocr_text,required_ocr_fields
S-0109,survey,data/input_images/surveys/survey_109_S-0109.jpg,2026-04-14,,만족도설문,,,운영팀,4,4,2,속도 개선 필요,False,False,응답일 2026-04-14; 부서 운영팀; 전체만족도 4; 사용편의성 4; 응답속도 2; 추천의향 3; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0005,receipt,data/input_images/receipts/receipt_005_R-0005.jpg,2026-05-14,모두카페,클라우드서비스,202950,개인카드,,,,,실습 준비용,False,False,상호명 모두카페; 일자 2026-05-14; 합계금액 202950; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0117,survey,data/input_images/surveys/survey_117_S-0117.jpg,2026-03-12,,만족도설문,,,재무팀,5,5,3,데이터 보정 기능 좋음,False,False,응답일 2026-03-12; 부서 재무팀; 전체만족도 5; 사용편의성 5; 응답속도 3; 추천의향 3; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0020,survey,data/input_images/surveys/survey_020_S-0020.jpg,2026-04-16,,만족도설문,,,인사팀,2,2,1,입력 절차가 간단함,False,False,응답일 2026-04-16; 부서 인사팀; 전체만족도 2; 사용편의성 2; 응답속도 1; 추천의향 4; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0093,receipt,data/input_images/receipts/receipt_093_R-0093.jpg,2026-06-16,업무자동화카페,인쇄제본,163900,개인카드,,,,,프로젝트 자료,False,True,상호명 업무자동화카페; 일자 2026-06-16; 합계금액 163900; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
R-0105,receipt,data/input_images/receipts/receipt_105_R-0105.jpg,2026-04-28,모두카페,도서자료,126500,법인카드,,,,,팀 회의 사용,False,False,상호명 모두카페; 일자 2026-04-28; 합계금액 126500; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
S-0096,survey,data/input_images/surveys/survey_096_S-0096.jpg,2026-03-19,,만족도설문,,,재무팀,2,2,4,입력 절차가 간단함,False,False,응답일 2026-03-19; 부서 재무팀; 전체만족도 2; 사용편의성 2; 응답속도 4; 추천의향 2; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0097,survey,data/input_images/surveys/survey_097_S-0097.jpg,2026-04-30,,만족도설문,,,영업팀,4,2,4,이미지 업로드 편리,True,False,응답일 2026-04-30; 부서 영업팀; 전체만족도 4; 사용편의성 2; 응답속도 4; 추천의향 2; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0115,survey,data/input_images/surveys/survey_115_S-0115.jpg,2026-05-10,,만족도설문,,,데이터팀,5,2,4,데이터 보정 기능 좋음,False,False,응답일 2026-05-10; 부서 데이터팀; 전체만족도 5; 사용편의성 2; 응답속도 4; 추천의향 3; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0057,receipt,data/input_images/receipts/receipt_057_R-0057.jpg,2026-05-15,업무자동화카페,사무용품,320100,개인카드,,,,,현장 실습비,False,True,상호명 업무자동화카페; 일자 2026-05-15; 합계금액 320100; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0056,receipt,data/input_images/receipts/receipt_056_R-0056.jpg,2026-04-12,데이터랩서점,도서자료,64350,현금,,,,,현장 실습비,True,False,상호명 데이터랩서점; 일자 2026-04-12; 합계금액 64350; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0078,receipt,data/input_images/receipts/receipt_078_R-0078.jpg,2026-04-01,클라우드문구,인쇄제본,206800,현금,,,,,프로젝트 자료,False,False,상호명 클라우드문구; 일자 2026-04-01; 합계금액 206800; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0106,survey,data/input_images/surveys/survey_106_S-0106.jpg,2026-05-19,,만족도설문,,,기획팀,5,3,2,대시보드가 보기 쉬움,False,False,응답일 2026-05-19; 부서 기획팀; 전체만족도 5; 사용편의성 3; 응답속도 2; 추천의향 4; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0072,receipt,data/input_images/receipts/receipt_072_R-0072.jpg,2026-05-09,서울프린트,교육운영,305250,현금,,,,,현장 실습비,False,False,상호명 서울프린트; 일자 2026-05-09; 합계금액 305250; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
S-0064,survey,data/input_images/surveys/survey_064_S-0064.jpg,2026-04-06,,만족도설문,,,운영팀,4,3,5,메뉴 구성이 좋음,False,False,응답일 2026-04-06; 부서 운영팀; 전체만족도 4; 사용편의성 3; 응답속도 5; 추천의향 5; 수기의견 메뉴 구성이 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0115,receipt,data/input_images/receipts/receipt_115_R-0115.jpg,2026-05-10,AI세미나센터,클라우드서비스,142450,법인카드,,,,,프로젝트 자료,True,False,상호명 AI세미나센터; 일자 2026-05-10; 합계금액 142450; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
S-0013,survey,data/input_images/surveys/survey_013_S-0013.jpg,2026-05-20,,만족도설문,,,재무팀,5,5,3,보고서 자동화 유용,False,False,응답일 2026-05-20; 부서 재무팀; 전체만족도 5; 사용편의성 5; 응답속도 3; 추천의향 3; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0070,receipt,data/input_images/receipts/receipt_070_R-0070.jpg,2026-05-28,그린오피스,사무용품,91300,현금,,,,,대시보드 검토,False,False,상호명 그린오피스; 일자 2026-05-28; 합계금액 91300; 수기메모 대시보드 검토,"상호명, 일자, 합계금액, 수기메모"
R-0024,receipt,data/input_images/receipts/receipt_024_R-0024.jpg,2026-06-28,업무자동화카페,회의비,240350,법인카드,,,,,운영비 처리,True,False,상호명 업무자동화카페; 일자 2026-06-28; 합계금액 240350; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
S-0037,survey,data/input_images/surveys/survey_037_S-0037.jpg,2026-05-31,,만족도설문,,,교육팀,3,4,3,속도 개선 필요,True,False,응답일 2026-05-31; 부서 교육팀; 전체만족도 3; 사용편의성 4; 응답속도 3; 추천의향 2; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0052,receipt,data/input_images/receipts/receipt_052_R-0052.jpg,2026-03-03,서울프린트,사무용품,135300,현금,,,,,실습 준비용,False,False,상호명 서울프린트; 일자 2026-03-03; 합계금액 135300; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0011,receipt,data/input_images/receipts/receipt_011_R-0011.jpg,2026-04-01,모두카페,사무용품,167750,계좌이체,,,,,프로젝트 자료,False,False,상호명 모두카페; 일자 2026-04-01; 합계금액 167750; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
R-0053,receipt,data/input_images/receipts/receipt_053_R-0053.jpg,2026-05-24,서울프린트,인쇄제본,150700,법인카드,,,,,프로젝트 자료,False,False,상호명 서울프린트; 일자 2026-05-24; 합계금액 150700; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
R-0026,receipt,data/input_images/receipts/receipt_026_R-0026.jpg,2026-03-29,스마트오피스,인쇄제본,183700,법인카드,,,,,OCR 테스트용,False,False,상호명 스마트오피스; 일자 2026-03-29; 합계금액 183700; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0092,survey,data/input_images/surveys/survey_092_S-0092.jpg,2026-06-17,,만족도설문,,,마케팅팀,2,2,3,보고서 자동화 유용,False,True,응답일 2026-06-17; 부서 마케팅팀; 전체만족도 2; 사용편의성 2; 응답속도 3; 추천의향 5; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0062,receipt,data/input_images/receipts/receipt_062_R-0062.jpg,2026-05-22,데이터랩서점,회의비,77000,개인카드,,,,,프로젝트 자료,True,False,상호명 데이터랩서점; 일자 2026-05-22; 합계금액 77000; 수기메모 프로젝트 자료,"상호명, 일자, 합계금액, 수기메모"
R-0010,receipt,data/input_images/receipts/receipt_010_R-0010.jpg,2026-05-08,데이터랩서점,인쇄제본,152900,현금,,,,,OCR 테스트용,False,True,상호명 데이터랩서점; 일자 2026-05-08; 합계금액 152900; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
R-0117,receipt,data/input_images/receipts/receipt_117_R-0117.jpg,2026-06-29,스마트오피스,사무용품,220550,법인카드,,,,,현장 실습비,False,True,상호명 스마트오피스; 일자 2026-06-29; 합계금액 220550; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
S-0027,survey,data/input_images/surveys/survey_027_S-0027.jpg,2026-04-13,,만족도설문,,,마케팅팀,4,5,5,데이터 보정 기능 좋음,False,False,응답일 2026-04-13; 부서 마케팅팀; 전체만족도 4; 사용편의성 5; 응답속도 5; 추천의향 4; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0104,survey,data/input_images/surveys/survey_104_S-0104.jpg,2026-04-26,,만족도설문,,,마케팅팀,5,2,5,데이터 보정 기능 좋음,False,False,응답일 2026-04-26; 부서 마케팅팀; 전체만족도 5; 사용편의성 2; 응답속도 5; 추천의향 2; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0045,survey,data/input_images/surveys/survey_045_S-0045.jpg,2026-06-25,,만족도설문,,,데이터팀,3,5,3,모바일 화면 개선,False,False,응답일 2026-06-25; 부서 데이터팀; 전체만족도 3; 사용편의성 5; 응답속도 3; 추천의향 3; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0106,receipt,data/input_images/receipts/receipt_106_R-0106.jpg,2026-06-25,AI세미나센터,클라우드서비스,86350,계좌이체,,,,,현장 실습비,False,False,상호명 AI세미나센터; 일자 2026-06-25; 합계금액 86350; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0044,receipt,data/input_images/receipts/receipt_044_R-0044.jpg,2026-06-02,모두카페,도서자료,224950,법인카드,,,,,실습 준비용,False,False,상호명 모두카페; 일자 2026-06-02; 합계금액 224950; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0062,survey,data/input_images/surveys/survey_062_S-0062.jpg,2026-05-22,,만족도설문,,,교육팀,5,2,5,메뉴 구성이 좋음,False,False,응답일 2026-05-22; 부서 교육팀; 전체만족도 5; 사용편의성 2; 응답속도 5; 추천의향 5; 수기의견 메뉴 구성이 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0086,receipt,data/input_images/receipts/receipt_086_R-0086.jpg,2026-03-17,업무자동화카페,사무용품,180400,법인카드,,,,,OCR 테스트용,False,False,상호명 업무자동화카페; 일자 2026-03-17; 합계금액 180400; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
R-0027,receipt,data/input_images/receipts/receipt_027_R-0027.jpg,2026-04-01,데이터랩서점,인쇄제본,85250,개인카드,,,,,교육자료 준비,False,False,상호명 데이터랩서점; 일자 2026-04-01; 합계금액 85250; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0099,survey,data/input_images/surveys/survey_099_S-0099.jpg,2026-05-21,,만족도설문,,,운영팀,3,2,5,차트 설명이 필요함,False,False,응답일 2026-05-21; 부서 운영팀; 전체만족도 3; 사용편의성 2; 응답속도 5; 추천의향 5; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0058,receipt,data/input_images/receipts/receipt_058_R-0058.jpg,2026-03-31,데이터랩서점,교육운영,68750,계좌이체,,,,,팀 회의 사용,True,False,상호명 데이터랩서점; 일자 2026-03-31; 합계금액 68750; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0112,receipt,data/input_images/receipts/receipt_112_R-0112.jpg,2026-04-28,디지털스캔샵,사무용품,206250,법인카드,,,,,교육자료 준비,False,False,상호명 디지털스캔샵; 일자 2026-04-28; 합계금액 206250; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0095,survey,data/input_images/surveys/survey_095_S-0095.jpg,2026-04-09,,만족도설문,,,운영팀,2,5,1,속도 개선 필요,True,True,응답일 2026-04-09; 부서 운영팀; 전체만족도 2; 사용편의성 5; 응답속도 1; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0036,survey,data/input_images/surveys/survey_036_S-0036.jpg,2026-05-20,,만족도설문,,,기획팀,4,4,1,차트 설명이 필요함,False,False,응답일 2026-05-20; 부서 기획팀; 전체만족도 4; 사용편의성 4; 응답속도 1; 추천의향 2; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0024,survey,data/input_images/surveys/survey_024_S-0024.jpg,2026-05-18,,만족도설문,,,교육팀,5,4,2,데이터 보정 기능 좋음,True,False,응답일 2026-05-18; 부서 교육팀; 전체만족도 5; 사용편의성 4; 응답속도 2; 추천의향 3; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0063,receipt,data/input_images/receipts/receipt_063_R-0063.jpg,2026-07-07,서울프린트,회의비,165550,계좌이체,,,,,현장 실습비,False,True,상호명 서울프린트; 일자 2026-07-07; 합계금액 165550; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
R-0101,receipt,data/input_images/receipts/receipt_101_R-0101.jpg,2026-03-06,테크문구,클라우드서비스,128150,법인카드,,,,,현장 실습비,True,False,상호명 테크문구; 일자 2026-03-06; 합계금액 128150; 수기메모 현장 실습비,"상호명, 일자, 합계금액, 수기메모"
S-0111,survey,data/input_images/surveys/survey_111_S-0111.jpg,2026-05-28,,만족도설문,,,교육팀,5,3,5,이미지 업로드 편리,True,False,응답일 2026-05-28; 부서 교육팀; 전체만족도 5; 사용편의성 3; 응답속도 5; 추천의향 3; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0066,receipt,data/input_images/receipts/receipt_066_R-0066.jpg,2026-04-24,스마트오피스,클라우드서비스,125400,법인카드,,,,,OCR 테스트용,True,False,상호명 스마트오피스; 일자 2026-04-24; 합계금액 125400; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0082,survey,data/input_images/surveys/survey_082_S-0082.jpg,2026-04-20,,만족도설문,,,운영팀,5,4,3,모바일 화면 개선,False,False,응답일 2026-04-20; 부서 운영팀; 전체만족도 5; 사용편의성 4; 응답속도 3; 추천의향 2; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0097,receipt,data/input_images/receipts/receipt_097_R-0097.jpg,2026-04-25,클라우드문구,회의비,146850,계좌이체,,,,,실습 준비용,True,False,상호명 클라우드문구; 일자 2026-04-25; 합계금액 146850; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0057,survey,data/input_images/surveys/survey_057_S-0057.jpg,2026-06-23,,만족도설문,,,재무팀,3,2,3,대시보드가 보기 쉬움,False,True,응답일 2026-06-23; 부서 재무팀; 전체만족도 3; 사용편의성 2; 응답속도 3; 추천의향 4; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0041,receipt,data/input_images/receipts/receipt_041_R-0041.jpg,2026-05-06,스마트오피스,클라우드서비스,149050,현금,,,,,OCR 테스트용,False,False,상호명 스마트오피스; 일자 2026-05-06; 합계금액 149050; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0056,survey,data/input_images/surveys/survey_056_S-0056.jpg,2026-06-24,,만족도설문,,,교육팀,4,4,2,속도 개선 필요,True,True,응답일 2026-06-24; 부서 교육팀; 전체만족도 4; 사용편의성 4; 응답속도 2; 추천의향 5; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0098,receipt,data/input_images/receipts/receipt_098_R-0098.jpg,2026-06-16,그린오피스,회의비,92400,개인카드,,,,,실습 준비용,False,False,상호명 그린오피스; 일자 2026-06-16; 합계금액 92400; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0086,survey,data/input_images/surveys/survey_086_S-0086.jpg,2026-04-22,,만족도설문,,,재무팀,2,5,4,OCR 결과 확인 필요,False,True,응답일 2026-04-22; 부서 재무팀; 전체만족도 2; 사용편의성 5; 응답속도 4; 추천의향 3; 수기의견 OCR 결과 확인 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0040,survey,data/input_images/surveys/survey_040_S-0040.jpg,2026-05-07,,만족도설문,,,운영팀,3,5,5,데이터 보정 기능 좋음,False,False,응답일 2026-05-07; 부서 운영팀; 전체만족도 3; 사용편의성 5; 응답속도 5; 추천의향 3; 수기의견 데이터 보정 기능 좋음,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0053,survey,data/input_images/surveys/survey_053_S-0053.jpg,2026-04-26,,만족도설문,,,기획팀,5,3,5,보고서 자동화 유용,True,False,응답일 2026-04-26; 부서 기획팀; 전체만족도 5; 사용편의성 3; 응답속도 5; 추천의향 3; 수기의견 보고서 자동화 유용,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0079,receipt,data/input_images/receipts/receipt_079_R-0079.jpg,2026-06-12,스마트오피스,도서자료,140250,법인카드,,,,,운영비 처리,False,True,상호명 스마트오피스; 일자 2026-06-12; 합계금액 140250; 수기메모 운영비 처리,"상호명, 일자, 합계금액, 수기메모"
S-0060,survey,data/input_images/surveys/survey_060_S-0060.jpg,2026-05-11,,만족도설문,,,데이터팀,3,3,5,이미지 업로드 편리,False,False,응답일 2026-05-11; 부서 데이터팀; 전체만족도 3; 사용편의성 3; 응답속도 5; 추천의향 5; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0090,receipt,data/input_images/receipts/receipt_090_R-0090.jpg,2026-03-22,업무자동화카페,도서자료,187000,현금,,,,,교육자료 준비,False,False,상호명 업무자동화카페; 일자 2026-03-22; 합계금액 187000; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
R-0051,receipt,data/input_images/receipts/receipt_051_R-0051.jpg,2026-03-22,스마트오피스,인쇄제본,128700,법인카드,,,,,실습 준비용,False,False,상호명 스마트오피스; 일자 2026-03-22; 합계금액 128700; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0055,survey,data/input_images/surveys/survey_055_S-0055.jpg,2026-07-09,,만족도설문,,,기획팀,3,2,5,속도 개선 필요,False,False,응답일 2026-07-09; 부서 기획팀; 전체만족도 3; 사용편의성 2; 응답속도 5; 추천의향 4; 수기의견 속도 개선 필요,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0080,survey,data/input_images/surveys/survey_080_S-0080.jpg,2026-05-10,,만족도설문,,,데이터팀,2,3,3,대시보드가 보기 쉬움,False,False,응답일 2026-05-10; 부서 데이터팀; 전체만족도 2; 사용편의성 3; 응답속도 3; 추천의향 2; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0110,survey,data/input_images/surveys/survey_110_S-0110.jpg,2026-03-06,,만족도설문,,,데이터팀,5,3,3,입력 절차가 간단함,False,False,응답일 2026-03-06; 부서 데이터팀; 전체만족도 5; 사용편의성 3; 응답속도 3; 추천의향 3; 수기의견 입력 절차가 간단함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0014,receipt,data/input_images/receipts/receipt_014_R-0014.jpg,2026-03-14,디지털스캔샵,사무용품,147400,현금,,,,,실습 준비용,False,False,상호명 디지털스캔샵; 일자 2026-03-14; 합계금액 147400; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
R-0032,receipt,data/input_images/receipts/receipt_032_R-0032.jpg,2026-05-24,그린오피스,교육운영,315150,계좌이체,,,,,OCR 테스트용,False,False,상호명 그린오피스; 일자 2026-05-24; 합계금액 315150; 수기메모 OCR 테스트용,"상호명, 일자, 합계금액, 수기메모"
S-0001,survey,data/input_images/surveys/survey_001_S-0001.jpg,2026-03-10,,만족도설문,,,영업팀,3,5,1,이미지 업로드 편리,False,False,응답일 2026-03-10; 부서 영업팀; 전체만족도 3; 사용편의성 5; 응답속도 1; 추천의향 3; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0002,survey,data/input_images/surveys/survey_002_S-0002.jpg,2026-06-29,,만족도설문,,,인사팀,4,5,4,대시보드가 보기 쉬움,False,False,응답일 2026-06-29; 부서 인사팀; 전체만족도 4; 사용편의성 5; 응답속도 4; 추천의향 3; 수기의견 대시보드가 보기 쉬움,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0108,survey,data/input_images/surveys/survey_108_S-0108.jpg,2026-05-25,,만족도설문,,,재무팀,5,2,3,차트 설명이 필요함,False,True,응답일 2026-05-25; 부서 재무팀; 전체만족도 5; 사용편의성 2; 응답속도 3; 추천의향 5; 수기의견 차트 설명이 필요함,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0092,receipt,data/input_images/receipts/receipt_092_R-0092.jpg,2026-05-09,데이터랩서점,인쇄제본,281050,법인카드,,,,,팀 회의 사용,False,False,상호명 데이터랩서점; 일자 2026-05-09; 합계금액 281050; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0083,receipt,data/input_images/receipts/receipt_083_R-0083.jpg,2026-03-04,AI세미나센터,사무용품,230450,개인카드,,,,,팀 회의 사용,False,False,상호명 AI세미나센터; 일자 2026-03-04; 합계금액 230450; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0110,receipt,data/input_images/receipts/receipt_110_R-0110.jpg,2026-06-21,스마트오피스,도서자료,48950,개인카드,,,,,팀 회의 사용,False,True,상호명 스마트오피스; 일자 2026-06-21; 합계금액 48950; 수기메모 팀 회의 사용,"상호명, 일자, 합계금액, 수기메모"
R-0065,receipt,data/input_images/receipts/receipt_065_R-0065.jpg,2026-03-14,테크문구,교육운영,334400,현금,,,,,실습 준비용,True,False,상호명 테크문구; 일자 2026-03-14; 합계금액 334400; 수기메모 실습 준비용,"상호명, 일자, 합계금액, 수기메모"
S-0090,survey,data/input_images/surveys/survey_090_S-0090.jpg,2026-06-16,,만족도설문,,,재무팀,4,3,4,모바일 화면 개선,False,False,응답일 2026-06-16; 부서 재무팀; 전체만족도 4; 사용편의성 3; 응답속도 4; 추천의향 3; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
R-0017,receipt,data/input_images/receipts/receipt_017_R-0017.jpg,2026-05-04,서울프린트,사무용품,111650,현금,,,,,교육자료 준비,False,False,상호명 서울프린트; 일자 2026-05-04; 합계금액 111650; 수기메모 교육자료 준비,"상호명, 일자, 합계금액, 수기메모"
S-0019,survey,data/input_images/surveys/survey_019_S-0019.jpg,2026-04-24,,만족도설문,,,재무팀,4,5,2,이미지 업로드 편리,True,False,응답일 2026-04-24; 부서 재무팀; 전체만족도 4; 사용편의성 5; 응답속도 2; 추천의향 5; 수기의견 이미지 업로드 편리,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
S-0039,survey,data/input_images/surveys/survey_039_S-0039.jpg,2026-06-09,,만족도설문,,,재무팀,2,5,2,모바일 화면 개선,False,True,응답일 2026-06-09; 부서 재무팀; 전체만족도 2; 사용편의성 5; 응답속도 2; 추천의향 2; 수기의견 모바일 화면 개선,"응답일, 부서, 전체만족도, 사용편의성, 응답속도, 수기의견"
